x,y,value,Year,Day_in_Year,elevation,evapotranspiration,SPL4_Soilmoisture,Land_Surface_Temp_K,Precipictation_m,Surface_Pres_Pa
142.205,-36.83,2.021234,2018.0,289.0,146.07400512695312,1.0214420557022097,0.2112969756126403,14416.8,0.0004927458940073,99971.3828125
143.345,-36.8575,1.8407257,2018.0,289.0,281.5921630859375,1.70296311378479,0.1512007415294647,14322.9375,0.0004722672165371,98816.359375
143.7575,-36.885,0.45070833,2018.0,289.0,188.65948486328125,1.587461233139038,0.218565747141838,14392.625,0.0005242829793132,98992.671875
143.4075,-36.9125,3.5344892,2018.0,289.0,218.91989135742188,1.82844352722168,0.1587093323469162,14346.57142857143,0.0004722672165371,98816.359375
142.3125,-36.94,2.7581415,2018.0,289.0,180.35450744628903,1.4029544591903689,0.0984162613749504,14417.9375,0.0005094383377581,99909.109375
148.11,-36.965,0.29138243,2018.0,289.0,913.3080444335938,1.5159956216812134,0.1596233397722244,14025.833333333334,0.0030627937521785,89157.2421875
145.595,-36.9925,3.6542096,2018.0,289.0,296.1558837890625,3.0377204418182373,0.2274214476346969,14287.76923076923,0.0023875054903328,98678.921875
142.345,-37.02,0.8317909,2018.0,289.0,256.5194091796875,0.8841605186462402,0.096888855099678,14315.8125,0.0008024908602237,98907.0390625
146.19,-37.045,5.787427,2018.0,289.0,493.4195251464844,2.5080487728118896,0.2914157807826996,14177.76923076923,0.00311433034949,96169.5390625
141.5525,-37.0725,0.6931266,2018.0,289.0,174.51931762695312,2.912503719329834,0.2325509339570999,14157.5625,0.0005252332193776,99630.59375
144.0975,-37.0975,0.57189435,2018.0,289.0,276.37823486328125,1.0630732774734497,0.1881117522716522,14401.666666666666,0.000781068985816,98724.3203125
146.0625,-37.1225,3.4278002,2018.0,289.0,412.267822265625,2.9008994102478027,0.2238310426473617,14219.23076923077,0.00311433034949,96169.5390625
147.3675,-37.1475,0.1296043,2018.0,289.0,1232.1478271484375,2.244846105575561,0.161223217844963,14009.46153846154,0.0037506257649511,88816.1015625
148.025,-37.1725,0.057060853,2018.0,289.0,1039.7530517578125,2.740037202835083,0.165469229221344,14026.384615384615,0.0027723326347768,90251.953125
148.07500000000002,-37.1975,0.12757719,2018.0,289.0,1013.3461303710938,2.879380941390991,0.165469229221344,13951.76923076923,0.0027723326347768,90251.953125
147.52,-37.2225,0.14940447,2018.0,289.0,850.4961547851562,1.6175228357315063,0.1522599458694458,14046.166666666666,0.0032819048501551,89721.8125
146.2825,-37.2475,0.50944227,2018.0,289.0,566.539306640625,2.1813151836395264,0.2206658720970153,14245.153846153846,0.0033560602460056,93988.0625
144.41,-37.2725,4.0365796,2018.0,289.0,529.5629272460938,3.436767816543579,0.2205244749784469,14206.076923076924,0.0009610308916307,95808.2578125
141.9025,-37.2975,4.0549827,2018.0,289.0,239.7244110107422,2.1441245079040527,0.1159923523664474,14101.384615384615,0.0005990399513393,99153.4296875
147.29500000000002,-37.32,0.4380706,2018.0,289.0,391.5440979003906,1.3241815567016602,0.1498851776123047,14057.0,0.0029314074199646,90977.8671875
143.5825,-37.345,2.8965101,2018.0,289.0,483.3462219238281,2.071429252624512,0.1452892273664474,14127.133333333331,0.0007426416268572,97298.0
147.89,-37.3675,2.3805184,2018.0,289.0,328.7611999511719,1.4781928062438965,0.1648550629615783,14262.5,0.0026090063620358,92882.140625
142.965,-37.3925,4.304678,2018.0,289.0,311.66033935546875,1.5915762186050415,0.1384621858596801,14077.923076923076,0.0007844635983929,97752.7109375
146.1775,-37.415,0.18193369,2018.0,289.0,587.4745483398438,2.5075221061706543,0.2275587767362594,14199.923076923076,0.0022500087507069,96041.3125
148.8675,-37.4375,0.09814601,2018.0,289.0,667.76904296875,2.194413900375366,0.1610589325428009,14054.833333333334,0.0030857773963361,93183.34375
142.16750000000002,-37.4625,0.6984072,2018.0,289.0,212.5835418701172,2.0552010536193848,0.1797949522733688,14141.666666666666,0.0008129494381137,98836.4296875
